yardline,ep
1,-1.39
2,-1.34
3,-1.29
4,-1.24
5,-1.19
6,-1.13
7,-1.08
8,-1.03
9,-0.97
10,-0.92
11,-0.86
12,-0.8
13,-0.75
14,-0.69
15,-0.63
16,-0.57
17,-0.51
18,-0.44
19,-0.38
20,-0.32
21,-0.25
22,-0.19
23,-0.12
24,-0.05
25,-0.01
26,0.08
27,0.15
28,0.22
29,0.29
30,0.36
31,0.44
32,0.51
33,0.58
34,0.66
35,0.74
36,0.81
37,0.89
38,0.96
39,1.04
40,1.12
41,1.2
42,1.28
43,1.37
44,1.45
45,1.53
46,1.62
47,1.7
48,1.79
49,1.88
50,1.96
51,2.05
52,2.14
53,2.23
54,2.32
55,2.41
56,2.51
57,2.6
58,2.69
59,2.79
60,2.88
61,2.98
62,3.08
63,3.17
64,3.27
65,3.37
66,3.47
67,3.57
68,3.68
69,3.78
70,3.88
71,3.99
72,4.09
73,4.2
74,4.31
75,4.41
76,4.52
77,4.63
78,4.74
79,4.85
80,4.96
81,5.08
82,5.19
83,5.3
84,5.42
85,5.53
86,5.65
87,5.77
88,5.88
89,6
90,6.12
91,6.24
92,6.36
93,6.49
94,6.61
95,6.73
96,6.86
97,6.98
98,7.11
99,7.24
100,7.36
