Year,Team,Opponent,Site,Predicted Win Probability (%),Predicted Margin of Victory
2021,Georgia Tech,Northern Illinois,Home,72.22,9.43
2021,Georgia Tech,Kennesaw State,Home,99.53,43.14
2021,Georgia Tech,Clemson,Away,8.9,-22.17
2021,Georgia Tech,North Carolina,Neutral,30.14,-9.23
2021,Georgia Tech,Pittsburgh,Home,46.95,-1.76
2021,Georgia Tech,Duke,Away,55.07,2.62
2021,Georgia Tech,Virginia,Away,42.63,-2.65
2021,Georgia Tech,Virginia Tech,Home,44.93,-2.62
2021,Georgia Tech,Miami,Away,28.25,-9.2
2021,Georgia Tech,Boston College,Home,60.24,3.89
2021,Georgia Tech,Notre Dame,Away,17.49,-15.24
2021,Georgia Tech,georgia,Home,16.02,-17.19
