Yardline,ExpPuntNet
1,32.53721071501593
2,33.0280454964151
3,33.499080881078605
4,33.950316869006436
5,34.381753460198595
6,34.79339065465508
7,35.185228452375895
8,35.557266853361035
9,35.909505857610505
10,36.2419454651243
11,36.55458567590242
12,36.84742648994488
13,37.12046790725166
14,37.373709927822766
15,37.6071525516582
16,37.82079577875797
17,38.01463960912206
18,38.18868404275048
19,38.34292907964323
20,38.477374719800295
21,38.5920209632217
22,38.68686780990743
23,38.76191525985749
24,38.81716331307187
25,38.85261196955059
26,38.86826122929363
27,38.864111092301
28,38.840161558572696
29,38.79641262810872
30,38.73286430090907
31,38.64951657697375
32,38.546369456302756
33,38.423422938896096
34,38.28067702475376
35,38.11813171387575
36,37.93578700626207
37,37.73364290191272
38,37.51169940082769
39,37.269956503006995
40,37.00841420845062
41,36.727072517158575
42,36.42593142913086
43,36.10499094436747
44,35.76425106286841
45,35.403711784633686
46,35.02337310966328
47,34.6232350379572
48,34.203297569515456
49,33.76356070433803
50,33.30402444242495
51,32.82468878377618
52,32.32555372839174
53,31.806619276271633
54,31.26788542741585
55,30.709352181824396
56,30.131019539497274
57,29.532887500434477
58,28.914956064636
59,28.27722523210186
60,27.619695002832042
61,26.942365376826555
62,26.2452363540854
63,25.52830793460857
64,24.791580118396062
65,24.035052905447884
66,23.258726295764035
67,22.462600289344515
68,21.646674886189324
69,20.81095008629846
70,19.955425889671922
71,19.08010229630971
72,18.18497930621183
73,17.27005691937827
74,16.335335135809046
75,15.380813955504152
76,14.40649337846358
77,13.412373404687337
78,12.398454034175423
79,11.36473526692783
80,10.311217102944575
81,9.237899542225641
82,8.144782584771036
83,7.031866230580761
84,5.899150479654807
85,4.74663533199319
86,3.5743207875958944
87,2.3822068464629353
88,1.170293508594284
89,-0.06141922601000971
90,-1.3129313573500028
91,-2.5842428854256596
92,-3.8753538102369802
93,-5.186264131783979
94,-6.516973850066655
95,-7.867482965084996
96,-9.237791476839007
97,-10.62789938532869
98,-12.037806690554063
99,-13.467513392515087
100,-14.917019491211803
